player_name,team,age,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,fg_pct,three_pt_pct,ft_pct,plus_minus,production_score,salary,is_rotation_player,salary_millions,production_per_million
Garrett Temple,TOR,39,28,8.1,1.9,1,1.1,0.6,0.1,0.4,0.3,0.214,0.917,-1,5.75,2087519,FALSE,2.087519,2.75
Luka Garza,MIN,26,39,5.6,3.5,1.4,0.3,0.2,0.1,0.3,0.495,0.278,0.686,0,5.93,2162606,FALSE,2.162606,2.74
Torrey Craig,BOS,34,26,12.1,4.2,2.8,0.7,0.3,0.5,0.3,0.422,0.364,0.667,-1.9,9.91,3625162,FALSE,3.625162,2.73
Dariq Whitehead,BKN,20,20,12.3,5.7,1.5,0.6,0.3,0.1,0.8,0.406,0.446,0.6,-3.2,8.4,3114240,FALSE,3.11424,2.7
Dillon Jones,OKC,23,54,10.2,2.5,2.2,1.1,0.3,0.1,0.5,0.383,0.254,0.607,1.4,7.09,2622360,FALSE,2.62236,2.7
Josh Minott,MIN,22,46,6,2.6,1,0.4,0.3,0.3,0.2,0.489,0.326,0.895,-0.3,5.4,2019699,FALSE,2.019699,2.67
Austin Reaves,LAL,27,73,34.9,20.2,4.5,5.8,1.1,0.3,2.4,0.46,0.377,0.877,2.7,34.7,12976362,TRUE,12.976362,2.67
Dalen Terry,CHI,22,73,13.5,4.5,1.7,1.3,0.6,0.2,0.7,0.448,0.356,0.71,-2.4,9.39,3510480,FALSE,3.51048,2.67
Coby White,CHI,25,74,33.1,20.4,3.7,4.5,0.9,0.2,2.4,0.453,0.37,0.902,-1.9,31.39,12000000,TRUE,12,2.62
Jalen Green,HOU,23,82,32.9,21,4.6,3.4,0.9,0.3,2.5,0.423,0.354,0.813,2,31.52,12483048,TRUE,12.483048,2.53
Anthony Black,ORL,21,78,24.2,9.4,2.9,3.1,1.1,0.6,1.8,0.423,0.318,0.761,-0.5,19.13,7607760,TRUE,7.60776,2.51
Bones Hyland,MIN,24,24,9.9,6.2,1,1.3,0.8,0.2,1,0.398,0.39,0.885,-1.3,10.35,4158439,FALSE,4.158439,2.49
Max Christie,DAL,22,78,27.3,9.6,3.3,1.9,0.8,0.4,1.1,0.427,0.366,0.855,-1.1,17.71,7142857,TRUE,7.142857,2.48
Cory Joseph,ORL,33,50,12.2,3.5,1.5,1.4,0.5,0.1,0.4,0.403,0.364,0.778,0.7,8.2,3303771,FALSE,3.303771,2.48
Chris Paul,SAS,40,82,28,8.8,3.6,7.4,1.3,0.3,1.6,0.427,0.377,0.924,0,25.82,10460000,TRUE,10.46,2.47
